A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z
16113,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16114,0,0,0,3395,0,0,0,0,3800,1,404,0,2250,0,906,0,6113,0,1,1,3610,0,0,0,2
16115,0,0,0,2,0,0,0,0,3801,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16116,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16117,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16118,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16119,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,87,1,1,2,0,0,0,2
16120,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16121,0,0,0,2,0,0,0,0,3802,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16122,0,0,0,3396,0,0,0,0,0,1,2,0,2251,4801,1,0,6114,0,1,1,3611,0,5266,0,2
16123,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,6115,0,1,1,2,0,0,0,2
16124,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16125,0,0,0,3397,0,0,0,0,3803,1318,95,0,229,4802,147,0,6116,4532,167,1,30,0,5267,0,2
16126,0,0,0,2,0,0,0,0,3804,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16127,0,0,0,2,0,0,0,0,0,1,27,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16128,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16129,0,1359,0,3398,1426,0,0,0,0,1,15,0,13,4803,352,0,6117,4533,641,1,702,0,5268,0,3246
16130,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,5269,0,2
16131,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16132,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16133,220,112,0,407,1427,0,0,0,3805,16,1928,0,2252,4804,1402,0,6118,4534,2735,706,3612,0,5270,0,3247
16134,0,0,0,3399,1428,0,0,0,3806,336,51,0,59,0,34,897,6119,0,2736,41,3613,0,0,0,3248
16135,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16136,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,3249
16137,0,1360,0,3400,0,0,0,0,0,177,1929,0,295,4805,72,0,6120,4535,2737,25,2,0,5271,0,3250
16138,0,16,0,123,0,0,0,4,0,1,772,0,59,4806,281,0,6121,0,77,33,2,0,5272,0,3251
16139,0,0,0,2,0,0,0,0,3807,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16140,0,0,0,2,0,0,0,0,3808,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16141,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,2738,1,2,0,0,0,2
16142,0,0,0,1327,0,0,0,0,3809,18,85,0,837,4807,1403,0,6122,4536,118,34,2000,0,5273,0,2
16143,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,5274,0,2
16144,0,0,0,99,0,0,0,0,0,1,1930,0,63,0,76,0,6123,0,1,1,2,0,0,0,2
16145,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16146,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,4537,1,1,2,0,0,0,2
16147,0,1361,0,1330,0,0,0,0,3810,987,27,0,63,4808,155,0,6124,4538,1,1,10,0,5275,0,2
16148,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,2739,1,2,0,0,0,2
16149,0,0,0,2,0,0,0,0,3811,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16150,0,0,0,3401,0,0,0,0,0,1048,266,0,54,4809,228,0,6125,4539,2740,1137,3614,0,5276,0,3252
16151,0,0,0,3402,0,0,0,0,163,68,95,0,2253,0,45,898,6126,0,1602,16,3615,0,0,0,3253
16152,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16153,0,0,0,2455,1429,0,148,0,3812,3,104,0,55,0,51,0,6127,0,2741,1138,3616,0,0,0,73
16154,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,3254
16155,0,0,0,2,0,0,149,0,0,1,2,0,2,0,1,0,6128,0,1,1,113,0,0,0,2
16156,0,1362,0,3403,1430,0,0,294,3813,218,194,0,2254,2874,45,0,6129,4540,2356,1,6,0,5277,0,3255
16157,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16158,0,0,0,2264,0,0,0,0,0,16,85,0,63,4810,66,0,6130,4541,1,16,3617,0,5278,0,2
16159,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16160,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16161,0,0,0,1628,0,0,0,0,0,1,1931,0,1049,4811,1,0,6131,0,357,13,27,0,5279,0,2
16162,0,0,0,1291,0,0,0,0,3814,77,1932,0,2255,4812,86,0,6132,4542,960,1139,116,0,5280,0,2
16163,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,3618,0,0,0,2
16164,0,0,0,239,0,0,0,0,0,68,384,0,56,4813,191,0,6133,2815,2742,16,316,0,5281,0,3256
16165,0,332,0,1134,0,0,0,0,1283,458,7,0,47,0,110,0,6134,4543,710,340,2406,0,5282,0,2
16166,0,1363,0,252,1431,0,0,0,3815,56,124,0,2256,4814,779,0,3475,4544,2743,78,252,0,5283,0,3257
16167,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16168,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16169,0,1364,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16170,0,0,0,3404,1432,0,0,0,0,11,74,0,276,0,284,0,6135,0,2744,1,252,0,0,0,3258
16171,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16172,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16173,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16174,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16175,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16176,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16177,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,899,3,0,1,1,2,0,5284,0,2
16178,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16179,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,4545,1,1,2,0,0,0,2
16180,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16181,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16182,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16183,0,0,0,3405,0,0,0,0,3816,19,1933,0,2257,4815,314,0,6136,4546,2745,1,373,0,5285,0,3259
16184,0,0,0,906,0,0,0,0,3817,18,94,0,1513,4816,1404,0,6137,4547,262,1,4,0,5286,0,2
16185,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16186,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16187,0,1365,0,567,1433,0,0,0,0,1,15,0,42,4817,1,0,6138,4548,402,1,1486,0,5287,0,3260
16188,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16189,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16190,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16190,221,1016,15,3406,1434,4,113,223,2883,1049,1934,1,2258,4818,1405,900,6139,4549,2196,871,3619,2,5288,1,2494
16191,0,0,0,3407,0,0,0,0,0,1,118,0,873,4819,1,0,6140,4550,1,1140,3620,0,0,0,2
16192,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,901,3,0,1,1,2,0,0,0,2
16193,0,0,0,3408,0,0,0,0,0,1319,1935,0,2,0,1,0,6141,0,2746,1,3621,0,0,0,3261
16194,0,0,0,1103,0,0,0,0,3818,1320,58,0,68,284,1,0,6142,4551,1,25,3622,0,1124,0,2
16195,0,0,0,2,0,0,0,0,0,1,2,0,2,0,284,0,3,0,1,1,2,0,0,0,2
16196,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16197,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16198,0,0,0,2,0,0,0,0,0,1,2,0,2,4820,1,0,3,0,1,1,2,0,0,0,2
16199,0,1366,0,3409,0,0,0,0,0,1,1936,0,581,0,1,0,6143,0,2747,1,149,0,0,0,2
16200,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16201,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16202,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,3262
16203,0,0,0,3410,0,0,0,0,0,19,7,0,1642,4821,9,0,6144,4552,2748,17,3623,0,5289,0,3263
16204,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16205,0,0,0,3411,0,0,0,0,0,56,38,0,2259,4822,187,0,6145,4553,468,17,31,0,5290,0,3264
16206,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16207,0,0,0,678,0,0,0,0,3819,1,7,0,1,0,1406,902,6146,0,2749,1141,3624,0,0,0,2
16208,0,0,0,1580,0,0,0,295,163,71,1760,0,104,4823,1,0,6147,4554,2750,76,3625,0,5291,0,983
16209,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16210,0,0,0,2710,1435,0,150,0,3820,1,121,0,1544,4824,37,0,6148,4555,2751,1,326,0,5292,0,3265
16211,0,0,0,1486,0,0,0,0,0,1,7,0,26,4825,175,0,6149,925,2454,1142,2625,0,5293,0,2
16212,0,0,0,931,0,0,0,0,3821,1321,1937,0,2260,4826,1,0,6150,4556,2752,1,3626,0,5294,0,3266
16213,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16214,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16215,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16216,0,0,0,513,0,1,0,0,3822,1,1938,0,164,0,1,0,6151,0,2753,1143,3627,0,0,0,2
16217,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16218,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16219,0,0,0,2,0,0,0,0,0,1,2,0,2,4827,1,0,6152,4557,1,1,2,0,5295,0,2
16220,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16221,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16222,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16223,0,0,0,2,0,0,0,0,0,1,2,0,2,0,55,0,3,0,1,1,2,0,0,0,2
16224,0,0,0,664,0,0,0,0,3823,11,483,0,185,4828,1,0,6153,0,2754,8,4,0,5296,0,3267
16225,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16226,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,3628,0,0,0,2
16227,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16228,0,1367,0,1529,1436,0,0,0,3824,1322,7,0,2024,4829,1,0,5712,4558,1772,1,3629,0,5297,0,2
16229,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16230,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16231,0,0,0,2,0,0,0,0,3825,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16232,0,0,0,1103,0,0,0,0,0,55,58,0,2261,4830,1,0,6154,4559,57,1,3630,0,5298,0,2
16233,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,4560,1,1,2,0,0,0,2
16234,0,0,0,2458,0,0,0,0,3826,1323,31,0,1604,4831,66,0,2575,4561,762,768,63,0,5299,0,3268
16235,0,1368,0,1811,0,0,0,0,0,1,2,0,2,0,1,0,6155,0,1,1,2,0,0,0,2
16236,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16237,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16238,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16239,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16240,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16241,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16242,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16243,0,0,0,2,0,0,0,0,3827,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16244,0,0,0,2337,0,0,0,0,0,8,1939,0,501,4832,472,0,6156,4562,1,3,90,0,5300,0,3269
16245,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16246,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16247,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16248,0,1369,0,3412,0,0,0,0,0,13,559,0,106,4833,5,0,6157,4563,2755,15,3631,0,5301,0,3270
16249,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16250,0,0,0,3413,0,0,0,296,3828,19,74,0,2262,4834,7,903,6158,0,1,1,3632,0,5302,0,3271
16251,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16252,0,1348,0,827,1437,0,0,0,0,1324,7,0,516,4835,389,0,6159,4564,265,1144,3633,0,5303,0,2
16253,0,0,0,3414,0,0,0,297,0,1,2,0,2,0,1,0,3,0,2756,1,2,0,0,0,2
16254,0,0,0,662,0,0,0,0,211,48,120,0,10,4836,18,0,6160,4565,1,1,2,0,5304,0,2
16255,0,0,0,842,1438,0,0,0,0,3,1940,0,63,4837,114,0,6161,4566,582,1,2,0,5305,0,2479
16256,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16257,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16258,0,0,0,861,0,0,0,0,0,19,0,0,2263,4838,1,0,6162,4567,1,79,462,0,5306,0,2
16259,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,4568,1,1,2,0,0,0,2
16260,0,0,0,685,0,0,0,0,0,1,2,0,2,0,1,0,6163,0,1,1,2,0,0,0,2
16261,0,0,0,1050,0,0,0,0,0,1,194,0,58,4839,261,0,6164,0,2757,1,143,0,5307,0,3272
16262,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16263,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16264,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,4569,1,1,2,0,0,0,2
16265,0,0,0,2960,0,0,0,0,0,1,647,0,232,4840,1,0,6165,4570,1,1,2,0,5308,0,2
16266,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,3273
16267,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16268,0,0,0,1442,0,0,0,0,3829,11,650,0,99,4841,486,0,6166,4571,57,58,3634,0,5309,0,2
16269,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1407,0,3,0,1,1,2,0,0,0,2
16270,0,0,0,2,0,0,0,0,3830,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16271,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16272,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16273,0,0,0,2,0,0,0,0,0,1,2,0,2264,0,1,0,3,0,1,1,2,0,0,0,2
16274,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,4572,1,1,2,0,0,0,2
16275,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16276,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16277,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16278,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16279,0,0,0,3415,0,0,0,0,3831,18,1941,0,2265,0,174,0,6167,4573,1,25,3635,0,5310,0,2
16280,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16281,0,0,0,3416,0,0,0,0,3832,19,1942,0,294,4842,108,0,6168,4574,2758,1,3636,0,5311,0,2
16282,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16283,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16284,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16285,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16286,0,0,0,3417,0,0,0,0,0,1,2,0,2,0,1,0,6169,0,1,1,2,0,0,0,3274
16287,0,0,0,1413,0,0,0,0,3833,56,0,0,1,4843,155,0,6170,4575,958,1,31,0,5312,0,3275
16288,0,0,0,2,0,0,0,0,3834,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16289,0,0,0,2277,0,0,0,0,3835,717,119,0,164,4844,255,0,6171,4576,1,1,3637,0,5313,0,2
16290,0,1370,0,3418,0,0,0,0,3836,19,1943,0,2266,0,1017,0,6172,0,2759,1,3638,0,5314,0,3276
16291,0,0,0,2,0,0,0,0,0,1,2,0,2,4845,1,0,3,0,1,1,2,0,0,0,2
16292,0,0,0,3419,0,0,0,0,0,769,0,0,2267,0,1,0,6173,0,1,1,3639,0,5315,0,2
16293,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16294,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16295,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16296,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16297,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16298,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16299,0,0,0,3420,1439,0,0,0,0,222,1523,0,805,0,1408,0,6174,0,2760,1,3640,0,0,0,3277
16300,0,0,0,911,1440,0,0,0,3837,35,96,0,2268,4846,824,904,6175,4577,663,1145,3641,0,5316,0,229
16301,0,0,0,72,0,0,0,0,3838,1325,1944,0,894,4847,200,0,6176,4578,2761,93,2624,0,5317,0,2
16302,0,0,0,1304,0,0,0,0,3839,1017,21,0,393,4848,1409,0,6177,4579,2762,81,462,0,5318,0,2
16303,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16304,222,0,0,3421,1441,0,0,0,0,3,1945,0,43,4849,1410,0,6178,4580,2763,279,3642,0,5319,0,3278
16305,0,0,0,3422,0,0,0,0,0,48,1946,0,2269,4850,84,0,6179,0,1,1146,3643,0,5320,0,3279
16306,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,5321,0,2
16307,0,0,0,2852,0,0,0,0,3734,11,288,0,2270,0,265,0,6007,4581,2291,1,27,0,5322,0,3122
16308,0,1371,0,1505,0,0,0,0,3840,61,27,0,58,4851,46,0,6180,4582,1117,73,142,0,5323,0,1222
16309,0,0,0,2,0,0,0,0,0,1,1947,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16310,0,0,0,2,0,0,0,0,0,1,2,0,2271,0,1,0,3,0,1,1,2,0,0,0,2
16311,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16312,0,1372,0,3423,1442,0,0,0,0,1,15,0,42,4852,1,0,6181,4583,402,1,271,0,5324,0,81
16313,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,4584,1,1,2,0,0,0,2
16314,0,1373,0,3155,0,0,0,0,0,1,1948,0,2102,0,1,0,6182,0,2551,1,3644,0,0,0,3280
16315,0,0,0,1225,0,0,0,0,3841,1,380,0,57,4853,84,0,6183,4585,912,1147,70,0,5325,0,1934
16316,0,0,0,1449,0,0,0,0,3842,8,2,0,2272,4854,1,0,6184,0,1,1,7,0,5326,0,2
16317,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,4586,1,1,2,0,0,0,2
16318,0,0,0,2,1443,0,0,0,0,61,2,0,447,0,1,0,3,0,1066,1,2,0,0,0,3281
16319,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16320,0,0,0,2,0,0,0,0,0,1,1949,0,2,0,1,0,3,4587,1,1,2,0,0,0,2
16321,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16322,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16323,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16324,0,0,0,785,0,0,0,0,3843,1,27,0,1,0,158,0,6185,0,1,1,57,0,0,0,2
16325,0,0,0,3424,0,0,0,0,3844,1,7,0,2273,4855,359,0,6186,0,1,72,30,0,5327,0,2
16326,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16327,0,0,0,239,0,0,0,0,3845,1326,0,0,56,4856,176,0,6187,4588,1732,1,90,0,5328,0,1919
16328,0,0,0,114,0,0,0,0,3846,1327,27,0,5,4857,1411,0,6188,4589,1,34,1153,0,5329,0,2
16329,0,0,0,2,0,0,0,0,3847,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16330,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16331,0,0,0,684,0,0,0,0,3848,19,58,0,148,4858,1412,0,6189,0,2764,1,3645,0,5330,0,3282
16332,0,0,0,201,0,0,0,0,0,19,58,0,148,4859,130,0,6190,0,1,1,3646,0,5331,0,133
16333,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16334,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16335,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16336,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16337,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,3283
16338,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16339,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16340,0,0,0,3425,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16341,0,661,0,1757,0,0,0,0,3849,1,1950,0,1145,0,46,0,5455,0,1529,1,500,0,0,0,3284
16342,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16343,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16344,0,0,0,944,0,0,0,0,0,1,27,0,1,0,74,0,6191,0,1,1,131,0,0,0,3285
16344,166,1016,15,3426,1054,4,113,223,2883,1053,1951,1,2274,3651,1413,681,6192,3453,2196,871,3647,2,4008,1,3286
16345,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16346,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16347,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16348,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16349,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16350,0,0,0,935,0,0,0,0,0,103,0,0,104,4860,202,0,6193,4590,2765,1,3648,0,5332,0,3287
16351,0,0,0,2,0,0,0,0,0,13,1952,0,2275,0,1,0,6194,1271,1,1,2,0,5333,0,926
16352,0,0,0,1316,0,0,0,0,0,32,1953,0,2276,4861,1,0,6195,4591,1,16,63,0,5334,0,2
16353,0,0,0,2,0,0,0,0,3850,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16354,0,0,0,713,0,0,0,0,3851,19,0,0,2277,4862,147,0,6196,0,2766,1148,3649,0,5335,0,1181
16355,0,0,0,2235,0,0,0,0,0,61,1954,0,1760,0,1,0,6197,0,1,1,24,0,5336,0,2
16356,0,0,0,2,0,0,0,0,3852,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16357,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
16358,0,1374,0,1760,0,0,0,0,0,1328,42,0,2278,4863,1,0,6198,0,167,37,500,0,5337,0,3288
16359,0,0,0,2,0,0,0,0,0,1,2,0,2,0,1,0,3,0,1,1,2,0,0,0,2
